sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	Notes	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:326964	Hoplomys gymnurus	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:326996	Proechimys semispinosus	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:327163	Coendou rothschildi	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:327955	Homo sapiens	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328441	Sigmodon hispidus	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328482	Dasypus novemcinctus	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328504	Didelphis marsupialis	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328518	Bradypus infuscatus 	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328601	Nasua nasua	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328607	Canis familiaris	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
